date,name,category,amount,quantity,totalamount
2025-01-01,Air Max 90,sale,45000,3,135000
2025-01-01,Jordan 1 Mid,sale,52000,2,104000
2025-01-01,Shop Rent,expense,300000,1,300000
2025-01-02,Air Force 1,sale,38000,4,152000
2025-01-02,Inventory Purchase - Nike,expense,28000,30,840000
2025-01-03,Vans Old Skool,sale,32000,5,160000
2025-01-03,Delivery Fees,expense,5000,6,30000
2025-01-04,Converse Chuck 70,sale,36000,3,108000
2025-01-04,Electricity (PHCN),expense,45000,1,45000
2025-01-05,Adidas Samba,sale,40000,4,160000
2025-01-06,Adidas Campus,sale,42000,3,126000
2025-01-06,Staff Wages,expense,120000,1,120000
2025-01-07,New Balance 550,sale,48000,2,96000
2025-01-08,Puma RS-X,sale,39000,4,156000
2025-01-08,Market Taxes/Levies,expense,15000,1,15000
2025-01-09,Reebok Club C,sale,31000,5,155000
2025-01-10,Nike Dunk Low,sale,50000,3,150000
2025-01-10,Packaging Materials,expense,3000,50,150000
2025-01-11,Asics Gel Lyte,sale,35000,3,105000
2025-01-12,Fila Disruptor,sale,28000,4,112000
2025-01-13,New Balance 327,sale,45000,2,90000
2025-01-13,Social Media Ads,expense,25000,1,25000
2025-01-14,Air Max Plus,sale,55000,2,110000
2025-01-15,Customer Refund,expense,45000,1,45000
2025-01-16,Jordan 4 Retro,sale,90000,1,90000
2025-01-17,Adidas Ultraboost,sale,65000,1,65000
2025-01-18,Stock Purchase - Adidas,expense,27000,25,675000
2025-01-19,Nike Pegasus,sale,47000,2,94000
2025-01-20,Sales Commission,expense,10000,6,60000
2025-01-21,Converse One Star,sale,33000,3,99000
2025-01-22,Air Force 1,sale,39000,4,156000
2025-01-22,Diesel/Generator,expense,18000,1,18000
2025-01-23,Nike Cortez,sale,34000,3,102000
2025-01-24,Adidas Gazelle,sale,36000,4,144000
2025-01-25,Jordan 1 Low,sale,48000,2,96000
2025-01-26,Reebok Classic,sale,31000,3,93000
2025-01-27,NB 990v5,sale,85000,1,85000
2025-01-27,Internet/Data,expense,15000,1,15000
2025-01-28,Vans Slip-On,sale,30000,4,120000
2025-01-29,Asics Kayano,sale,62000,1,62000
2025-01-30,Air Max 1,sale,52000,2,104000
2025-01-31,OPay/Moniepoint Fees,expense,3500,20,70000
2025-02-01,Stock Purchase - Nike,expense,30000,30,900000
2025-02-02,Air Jordan 11,sale,120000,1,120000
2025-02-03,Air Force 1,sale,38000,5,190000
2025-02-04,Adidas Superstar,sale,42000,4,168000
2025-02-05,Converse Chuck 70,sale,36000,4,144000
2025-02-06,Storage Rent,expense,80000,1,80000
2025-02-07,New Balance 550,sale,48000,3,144000
2025-02-08,Puma Suede,sale,34000,5,170000
2025-02-09,Reebok Club C,sale,31000,4,124000
2025-02-10,Adidas Samba,sale,40000,4,160000
2025-02-11,Nike Dunk Low,sale,50000,4,200000
2025-02-12,Packaging Materials,expense,3000,40,120000
2025-02-13,Air Max 90,sale,45000,4,180000
2025-02-14,Jordan 1 Mid,sale,52000,2,104000
2025-02-15,Staff Wages,expense,140000,1,140000
2025-02-16,Vans Old Skool,sale,32000,6,192000
2025-02-17,Adidas Campus,sale,42000,4,168000
2025-02-18,Diesel/Generator,expense,20000,1,20000
2025-02-19,Converse One Star,sale,33000,3,99000
2025-02-20,NB 327,sale,45000,3,135000
2025-02-21,Nike Cortez,sale,34000,4,136000
2025-02-22,Internet/Data,expense,15000,1,15000
2025-02-23,Asics Gel Lyte,sale,35000,4,140000
2025-02-24,Social Media Ads,expense,30000,1,30000
2025-02-25,Adidas Ultraboost,sale,65000,2,130000
2025-02-26,Reebok Classic,sale,31000,4,124000
2025-02-27,Air Max Plus,sale,55000,2,110000
2025-02-28,Sales Commission,expense,10000,8,80000
