date,name,category,amount,quantity,totalamount
1/1/2025,Air Max 90,sale,45000,3,135000
1/1/2025,Jordan 1 Mid,sale,52000,2,104000
1/1/2025,Shop Rent,expense,300000,1,300000
1/2/2025,Air Force 1,sale,38000,4,152000
1/2/2025,Inventory Purchase - Nike,expense,28000,30,840000
1/3/2025,Vans Old Skool,sale,32000,5,160000
1/3/2025,Delivery Fees,expense,5000,6,30000
1/4/2025,Converse Chuck 70,sale,36000,3,108000
1/4/2025,Electricity (PHCN),expense,45000,1,45000
1/5/2025,Adidas Samba,sale,40000,4,160000
1/6/2025,Adidas Campus,sale,42000,3,126000
1/6/2025,Staff Wages,expense,120000,1,120000
1/7/2025,New Balance 550,sale,48000,2,96000
1/8/2025,Puma RS-X,sale,39000,4,156000
1/8/2025,Market Taxes/Levies,expense,15000,1,15000
1/9/2025,Reebok Club C,sale,31000,5,155000
1/10/2025,Nike Dunk Low,sale,50000,3,150000
1/10/2025,Packaging Materials,expense,3000,50,150000
1/11/2025,Asics Gel Lyte,sale,35000,3,105000
1/12/2025,Fila Disruptor,sale,28000,4,112000
1/13/2025,New Balance 327,sale,45000,2,90000
1/13/2025,Social Media Ads,expense,25000,1,25000
1/14/2025,Air Max Plus,sale,55000,2,110000
1/15/2025,Customer Refund,expense,45000,1,45000
1/16/2025,Jordan 4 Retro,sale,90000,1,90000
1/17/2025,Adidas Ultraboost,sale,65000,1,65000
1/18/2025,Stock Purchase - Adidas,expense,27000,25,675000
1/19/2025,Nike Pegasus,sale,47000,2,94000
1/20/2025,Sales Commission,expense,10000,6,60000
1/21/2025,Converse One Star,sale,33000,3,99000
1/22/2025,Air Force 1,sale,39000,4,156000
1/22/2025,Diesel/Generator,expense,18000,1,18000
1/23/2025,Nike Cortez,sale,34000,3,102000
1/24/2025,Adidas Gazelle,sale,36000,4,144000
1/25/2025,Jordan 1 Low,sale,48000,2,96000
1/26/2025,Reebok Classic,sale,31000,3,93000
1/27/2025,NB 990v5,sale,85000,1,85000
1/27/2025,Internet/Data,expense,15000,1,15000
1/28/2025,Vans Slip-On,sale,30000,4,120000
1/29/2025,Asics Kayano,sale,62000,1,62000
1/30/2025,Air Max 1,sale,52000,2,104000
1/31/2025,OPay/Moniepoint Fees,expense,3500,20,70000
2/1/2025,Stock Purchase - Nike,expense,30000,30,900000
2/2/2025,Air Jordan 11,sale,120000,1,120000
2/3/2025,Air Force 1,sale,38000,5,190000
2/4/2025,Adidas Superstar,sale,42000,4,168000
2/5/2025,Converse Chuck 70,sale,36000,4,144000
2/6/2025,Storage Rent,expense,80000,1,80000
2/7/2025,New Balance 550,sale,48000,3,144000
2/8/2025,Puma Suede,sale,34000,5,170000
2/9/2025,Reebok Club C,sale,31000,4,124000
2/10/2025,Adidas Samba,sale,40000,4,160000
2/11/2025,Nike Dunk Low,sale,50000,4,200000
2/12/2025,Packaging Materials,expense,3000,40,120000
2/13/2025,Air Max 90,sale,45000,4,180000
2/14/2025,Jordan 1 Mid,sale,52000,2,104000
2/15/2025,Staff Wages,expense,140000,1,140000
2/16/2025,Vans Old Skool,sale,32000,6,192000
2/17/2025,Adidas Campus,sale,42000,4,168000
2/18/2025,Diesel/Generator,expense,20000,1,20000
2/19/2025,Converse One Star,sale,33000,3,99000
2/20/2025,NB 327,sale,45000,3,135000
2/21/2025,Nike Cortez,sale,34000,4,136000
2/22/2025,Internet/Data,expense,15000,1,15000
2/23/2025,Asics Gel Lyte,sale,35000,4,140000
2/24/2025,Social Media Ads,expense,30000,1,30000
2/25/2025,Adidas Ultraboost,sale,65000,2,130000
2/26/2025,Reebok Classic,sale,31000,4,124000
2/27/2025,Air Max Plus,sale,55000,2,110000
2/28/2025,Sales Commission,expense,10000,8,80000
4/1/2025,Shop Rent,expense,300000,1,300000
4/1/2025,Stock Purchase - Mixed,expense,29000,32,928000
4/2/2025,Nike Dunk Low,sale,52000,4,208000
4/2/2025,Adidas Samba,sale,42000,4,168000
4/3/2025,Air Force 1,sale,40000,5,200000
4/4/2025,Converse Chuck 70,sale,37000,4,148000
4/5/2025,Delivery Fees,expense,5500,6,33000
4/6/2025,New Balance 550,sale,50000,3,150000
4/7/2025,Electricity (PHCN),expense,47000,1,47000
